id,title,brand,link,price,availability,image_link,description,google_product_category,product_type,mpn,item_group_id,sale_price,color,size,size_system,material,gender,age_group
item_id_0,Product 0,Store Brand,https://www.example.com/0,49.99 USD,in stock,https://www.example.com/image_0.jpg,"This is the description for Product 0, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-0,item_group_id_0,39.99 USD,Green,L,US,Cotton,unisex,adult
item_id_1,Product 1,Store Brand,https://www.example.com/1,49.99 USD,out of stock,https://www.example.com/image_1.jpg,"This is the description for Product 1, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-1,item_group_id_1,39.99 USD,Green,L,US,Cotton,unisex,adult
item_id_2,Product 2,Store Brand,https://www.example.com/2,49.99 USD,in stock,https://www.example.com/image_2.jpg,"This is the description for Product 2, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-2,item_group_id_2,39.99 USD,Green,L,US,Cotton,unisex,adult
item_id_3,Product 3,Store Brand,https://www.example.com/3,49.99 USD,in stock,https://www.example.com/image_3.jpg,"This is the description for Product 3, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-3,item_group_id_3,39.99 USD,Green,L,US,Cotton,unisex,adult
item_id_4,Product 4,Store Brand,https://www.example.com/4,49.99 USD,in stock,https://www.example.com/image_4.jpg,"This is the description for Product 4, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-4,item_group_id_4,49.99 USD,Green,L,US,Cotton,unisex,adult
item_id_5,Product 5,Store Brand,https://www.example.com/5,49.99 USD,out of stock,https://www.example.com/image_5.jpg,"This is the description for Product 5, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-5,item_group_id_5,39.99 USD,Green,L,US,Cotton,unisex,adult
item_id_6,Product 6,Store Brand,https://www.example.com/6,49.99 USD,in stock,https://www.example.com/image_6.jpg,"This is the description for Product 6, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-6,item_group_id_6,39.99 USD,Green,L,US,Cotton,unisex,adult
item_id_7,Product 7,Store Brand,https://www.example.com/7,49.99 USD,in stock,https://www.example.com/image_7.jpg,"This is the description for Product 7, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-7,item_group_id_7,39.99 USD,Green,L,US,Cotton,unisex,adult
item_id_8,Product 8,Store Brand,https://www.example.com/8,49.99 USD,in stock,https://www.example.com/image_8.jpg,"This is the description for Product 8, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-8,item_group_id_8,39.99 USD,Green,L,US,Cotton,unisex,adult
item_id_9,Product 9,Store Brand,https://www.example.com/9,49.99 USD,in stock,https://www.example.com/image_9.jpg,"This is the description for Product 9, and it's made of high quality materials.",Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,mpn-9,item_group_id_9,39.99 USD,Green,L,US,Cotton,unisex,adult
